position (cm) +- 0.5, voltage (V) +- 0.005
7, 2.155
8, 2.519
9, 2.875
10, 3.155
11, 3.330
12, 3.396
13, 3.404
14, 3.404
15, 3.404
16, 3.385
17, 3.294
18, 3.090
19, 2.788
20, 2.420
21, 2.035
22, 1.678
23, 1.366
24, 1.110
25, 0.912
26, 0.749
27, 0.622
28, 0.522
29, 0.444
30, 0.380
31, 0.329
32, 0.288
33, 0.254
34, 0.226
35, 0.201
36, 0.183
37, 0.166
38, 0.154
40, 0.131
42, 0.114
44, 0.103
46, 0.095
48, 0.087
50, 0.081
52, 0.077
54, 0.073
56, 0.070
58, 0.067
60, 0.064
62, 0.063
64, 0.061
68, 0.058
72, 0.058
76, 0.056
80, 0.055
