position (cm) +-, voltage (V) +- 0.005
8, 1.322
9, 1.540
10, 1.689
11, 1.706
12, 1.545
13, 1.184
14, 0.649
15, 0.050
16, -0.546
17, -1.074
18, -1.436
19, -1.605
20, -1.598
21, -1.455
22, -1.224
23, -0.993
24, -0.795
25, -0.610
26, -0.470
27, -0.360
28, -0.272
29, -0.206
30, -0.160
31, -0.119
32, -0.087
33, -0.063
34, -0.046
35, -0.031
36, -0.016
37, -0.007
38, 0.003
39, 0.010
41, 0.020
43, 0.027
45, 0.032
47, 0.039
49, 0.039
51, 0.042
53, 0.043
55, 0.045
57, 0.045
59, 0.047
61, 0.048
63, 0.049
73, 0.050
80, 0.050
